Unique Key,Descriptor,Location Type,Incident Zip,Incident Address,X Coordinate (State Plane),Y Coordinate (State Plane),Latitude,Longitude,Location,geometry,year,Info_Accuracy,Vacancy_Type,Current_Status,Repeated,Comment
20812811,Rat Sighting,Vacant Building,10027,305 WEST  123 STREET,997442,234009,40.8089666,-73.952346,"(40.808966635235805, -73.9523457925765)",POINT (-73.95234579257651 40.80896663523581),2011,FALSE,/,/,FALSE,
25512275,Rat Sighting,Vacant Building,10027,141 WEST 126 STREET,999137,234012,40.8089722,-73.946223,"(40.808972175884094, -73.94622284304573)",POINT (-73.94622284304573 40.80897217588409),2013,TRUE,NEW BUILDING,NEW BUILDING,FALSE,
20866849,Rat Sighting,Vacant Building,10027,59 WEST 128 STREET,1000134,234055,40.8090885,-73.942621,"(40.80908846272375, -73.94262122248216)",POINT (-73.94262122248216 40.80908846272375),2011,TRUE,NEW BUILDING,NEW BUILDING,FALSE,
23386819,Rat Sighting,Vacant Building,10027,59 WEST  128 STREET,1000134,234055,40.8090885,-73.942621,"(40.80908846272375, -73.94262122248216)",POINT (-73.94262122248216 40.80908846272375),2012,/,/,/,TRUE,
31705962,Rat Sighting,Vacant Lot,10027,303 W 123RD ST,997437,234071,40.8091368,-73.952364,"(40.80913681549917, -73.95236373256057)",POINT (-73.95236373256056 40.80913681549917),2015,/,/,/,TRUE,
31987599,Rat Sighting,Vacant Lot,10027,267 W 124TH ST,997840,234183,40.8094436,-73.950908,"(40.809443613699145, -73.95090772271236)",POINT (-73.95090772271236 40.80944361369915),2015,FALSE,/,/,FALSE,
19252633,Condition Attracting Rodents,Vacant Lot,10027,130 WEST 127 STREET,999313,234207,40.8095071,-73.945587,"(40.80950709842644, -73.94558663083363)",POINT (-73.94558663083363 40.80950709842644),2010,FALSE,/,/,FALSE,
20380718,Condition Attracting Rodents,Vacant Lot,10027,132 WEST 127 STREET,999303,234213,40.8095236,-73.945623,"(40.80952358380375, -73.94562274122895)",POINT (-73.94562274122896 40.80952358380375),2011,FALSE,/,/,FALSE,
19869871,Condition Attracting Rodents,Vacant Lot,10027,302 WEST 124 STREET,997559,234237,40.8095923,-73.951923,"(40.80959225647989, -73.95192269490806)",POINT (-73.95192269490806 40.8095922564799),2011,FALSE,/,/,FALSE,
20285986,Condition Attracting Rodents,Vacant Building,10027,302 WEST  124 STREET,997559,234237,40.8095923,-73.951923,"(40.80959225647989, -73.95192269490806)",POINT (-73.95192269490806 40.8095922564799),2011,FALSE,/,/,FALSE,
21098763,Rat Sighting,Vacant Building,10027,105 WEST 128 STREET,999583,234359,40.8099238,-73.944611,"(40.80992383172524, -73.94461093969869)",POINT (-73.94461093969869 40.80992383172524),2011,FALSE,/,/,FALSE,
